epoch,step,train_loss
0,49,1.0785801410675049
0,99,0.9947875142097473
0,149,0.8937612175941467
0,199,0.8611054420471191
0,249,0.8482874631881714
0,299,0.8104344606399536
0,349,0.7433589100837708
0,399,0.7263655066490173
0,449,0.8728347420692444
0,499,0.7541142702102661
0,549,0.8591862320899963
0,599,0.7724149823188782
0,649,0.6267034411430359
0,699,0.5601040720939636
0,749,0.6970738768577576
0,799,0.5566760897636414
0,849,0.6191002130508423
0,899,0.5817950367927551
0,949,0.5201855301856995
0,999,0.8466396331787109
0,1049,0.6160758137702942
0,1099,0.7100674510002136
0,1149,0.654782772064209
0,1199,0.6611059904098511
0,1249,0.5159953236579895
0,1299,0.5191134810447693
0,1349,0.5285233855247498
0,1399,0.5950298309326172
0,1449,0.40797159075737
0,1499,0.4992675185203552
0,1549,0.4837970733642578
0,1599,0.5273874998092651
0,1649,0.45869335532188416
0,1699,0.47261688113212585
0,1749,0.5001723766326904
0,1799,0.5478143692016602
0,1849,0.5205894708633423
0,1899,0.35545843839645386
0,1949,0.5490062832832336
0,1999,0.35343289375305176
0,2049,0.43352046608924866
0,2099,0.544174313545227
0,2149,0.44263771176338196
0,2199,0.5477214455604553
0,2249,0.38956743478775024
0,2299,0.5165187120437622
0,2349,0.44087672233581543
0,2399,0.42778727412223816
0,2449,0.33870556950569153
0,2499,0.4343932271003723
0,2549,0.32971981167793274
0,2599,0.43774768710136414
0,2649,0.42505693435668945
0,2699,0.3700252175331116
0,2749,0.35588687658309937
0,2799,0.32968801259994507
0,2849,0.3523712754249573
0,2899,0.5016981363296509
0,2949,0.38327768445014954
0,2999,0.3768121600151062
0,3049,0.4857760965824127
0,3099,0.35580846667289734
0,3149,0.6017581820487976
0,3199,0.3948267996311188
0,3249,0.3477887809276581
0,3299,0.3036641478538513
0,3349,0.5127014517784119
0,3399,0.4410432279109955
0,3449,0.3383912146091461
0,3499,0.4216378331184387
0,3549,0.41617870330810547
0,3599,0.30455097556114197
0,3649,0.5355678796768188
0,3699,0.4752964675426483
0,3749,0.4740859866142273
0,3799,0.4163520634174347
0,3849,0.33095571398735046
0,3899,0.37653258442878723
0,3949,0.39101049304008484
0,3999,0.3562057912349701
0,4049,0.3935112953186035
0,4099,0.3198980689048767
0,4149,0.32038775086402893
0,4199,0.34670406579971313
0,4249,0.34107011556625366
0,4299,0.40044307708740234
0,4349,0.21508805453777313
0,4399,0.3084699213504791
0,4449,0.4351166784763336
0,4499,0.3328208923339844
0,4549,0.3540392518043518
0,4599,0.2806871235370636
0,4649,0.24645352363586426
0,4699,0.37650418281555176
0,4749,0.41278982162475586
0,4799,0.41488173604011536
0,4849,0.2896229922771454
0,4899,0.2942864000797272
0,4949,0.48277193307876587
0,4999,0.3469734787940979
0,5049,0.3252113163471222
0,5099,0.2723407745361328
0,5149,0.492438942193985
0,5199,0.3034680187702179
0,5249,0.4043005406856537
0,5299,0.3787841498851776
0,5349,0.33508190512657166
0,5399,0.35887986421585083
0,5449,0.2904180884361267
0,5499,0.393644779920578
0,5549,0.3373141884803772
0,5599,0.3499974310398102
0,5649,0.4107363522052765
0,5699,0.31789758801460266
0,5749,0.4604331851005554
0,5799,0.3730016350746155
0,5849,0.315640389919281
0,5899,0.307932585477829
0,5949,0.35383206605911255
0,5999,0.35926464200019836
0,6049,0.29641517996788025
0,6099,0.35602545738220215
0,6149,0.29663631319999695
0,6199,0.40224936604499817
0,6249,0.3636738955974579
0,6299,0.28223827481269836
0,6349,0.422354131937027
0,6399,0.37692636251449585
0,6449,0.38438698649406433
0,6499,0.3382435739040375
0,6549,0.33145594596862793
0,6599,0.4021684229373932
0,6649,0.3149987757205963
0,6699,0.31848451495170593
0,6749,0.33064669370651245
0,6799,0.3174293339252472
0,6849,0.3911985754966736
0,6899,0.2461414635181427
0,6949,0.334338515996933
0,6999,0.2761346101760864
0,7049,0.25477543473243713
0,7099,0.4012904167175293
0,7149,0.33414945006370544
0,7199,0.2640995979309082
0,7249,0.39012932777404785
0,7299,0.33921095728874207
0,7349,0.2209777534008026
0,7399,0.442131370306015
0,7449,0.28672143816947937
0,7499,0.3208672106266022
0,7549,0.23122981190681458
0,7599,0.40275201201438904
0,7649,0.25439542531967163
0,7699,0.3675410747528076
0,7749,0.2735461890697479
0,7799,0.3774639964103699
0,7849,0.27383264899253845
0,7899,0.22596296668052673
0,7949,0.32836025953292847
0,7999,0.2472786009311676
0,8049,0.2303026169538498
0,8099,0.27947941422462463
0,8149,0.2955493628978729
0,8199,0.2524876892566681
